"Genus","taxon_id"
"DERMATOCARPON",154128
"DERMISCELLUM",175876
"DESMAZIERIA",NA
"DIBAEIS",117425
"DICTYOCATENULATA",462820
"DICTYOMERIDIUM",1029838
"DICTYONEMA",128050
"DIDYMELLOPSIS",464931
"DIDYMOCYRTIS",531566
"DIDYMOSPHAERIA",353176
"DIGITOTHYREA",462825
"DIMELAENA",175859
"DIMERELLA",132205
"DIMIDIOGRAPHA",474434
"DINEMASPORIUM",374693
"DIORYGMA",462831
"DIPLOICIA",176033
"DIPLOLAEVIOPSIS",344846
"DIPLOSCHISTELLA",462839
"DIPLOSCHISTES",117958
"DIPLOTOMMA",175848
"DIRINA",175845
"DIRINARIA",175845
"DISCOTHECIUM",NA
"DISTOPYRENIS",175844
"DITREMIS",175204
"DOLICHOUSNEA",55890
"DUFOUREA",502154
"DYPLOLABIA",462849
"ECHINODISCUS",349393
"ECHINOPLACA",175849
"ECHINOTHECIUM",175842
"EDRUDIA",175862
"EIGLERA",175843
"ELIXIA",175841
"ELLISEMBIA",353166
"ENCHYLIUM",464247
"ENDOCARPISCUM",NA
"ENDOCARPON",175840
"ENDOCOCCUS",175839
"ENDOHYALINA",462881
"ENDOPYRENIUM",NA
"ENTEROGRAPHA",175836
"ENTEROSTIGMA",864041
"ENTOSTHELIA",NA
"EOPYRENULA",175835
"EPAPHROCONIDIA",462895
"EPHEBE",175834
"EPHEBEIA",NA
"EPICLADONIA",175837
"EPICOCCUM",352353
"EPIGLOEA",175830
"EPILICHEN",175832
"EPITHAMNOLIA",508898
"ERINACELLUS",508899
"ERIODERMA",153175
"ERYTHRICIUM",374734
"ESCHATOGONIA",370221
"ESSLINGERIANA",175833
"ETAYOA",464927
"EUGENIELLA",474435
"EUOPSIS",175831
"EVERNIA",123176
"EVERNIASTRUM",NA
"EVERNIICOLA",175827
"FARNOLDIA",175828
"FAYODIA",175829
"FELIPES",16850
"FELLHANERA",175823
"FELLHANEROPSIS",462913
"FIBRILLITHECIS",462916
"FISSURINA",463994
"FISTULARIELLA",48325
"FLAKEA",175811
"FLAVOCETRARIA",175809
"FLAVOPARMELIA",117951
"FLAVOPLACA",464002
"FLAVOPUNCTELIA",69437
"FORAMINELLA",NA
"FORSSELLIA",NA
"FOURAGEA",532762
"FRUTIDELLA",341780
"FULGENSIA",175808
"FULGIDEA",474428
"FULVOPHYTON",474429
"FUSARIUM",352243
"FUSCIDEA",175812
"FUSCOPANNARIA",175813
"GABURA",474431
"GAMUNDIA",461423
"GASPARRINIA",69163
"GASSICURTIA",462971
"GEISLERIA",532761
"GELATINOPSIS",462978
"GELTINGIA",175799
"GLAUCOMARIA",NA
"GLAUCOTREMA",474425
"GLOBOSPHAERIA",378967
"GLOEOHEPPIA",175790
"GLYPHIS",176064
"GLYPHOLECIA",175814
"GOMPHILLUS",175792
"GONGYLIA",176077
"GONOHYMENIA",NA
"GOWARDIA",460710
"GRANULOPYRENIS",175800
"GRAPHINA",117992
"GRAPHIS",117992
"GRAPHIUM",51577
"GYALECTA",175780
"GYALECTARIA",474426
"GYALECTIDIUM",175775
"GYALECTINA",NA
"GYALIDEA",175774
"GYALIDEOPSIS",175764
"GYALOLECHIA",465009
"GYMNODERMA",175760
"GYPSOPLACA",175759
"GYROGRAPHA",474432
"GYROPHORA",NA
"GYROSTOMUM",175766
"HAEMATOMMA",175758
"HAFELLIA",117925
"HAFELLNERA",174993
"HALECANIA",175755
"HALEGRAPHA",474427
"HALOSPORA",508959
"HARPIDIUM",463090
"HASSEA",840927
"HAWKSWORTHIANA",175753
"HAZSLINSZKYA",466538
"HEIOMASIA",474424
"HELMINTHOCARPON",175742
"HELOCARPON",175729
"HENRICA",175762
"HEPPIA",175734
"HERPOTHALLON",463096
"HERTELIANA",463101
"HERTELIDEA",463103
"HETEROCARPON",175725
"HETEROCEPHALACRIA",902034
"HETEROCYPHELIUM",175720
"HETERODERMIA",155495
"HETEROPLACIDIUM",344395
"HETEROTHECIUM",NA
"HOBSONIA",176030
"HOBSONIOPSIS",463111
"HOMOSTEGIA",175721
"HUBBSIA",463118
"HUILIA",125754
"HYALOPEZIZA",374695
"HYDROPUNCTARIA",197142
"HYDROTHYRIA",54294
"HYMENELIA",175711
"HYPERPHYSCIA",175712
"HYPOCENOMYCE",117990
"HYPOGYMNIA",117988
"HYPOTRACHYNA",117980
"HYPOXYLON",48804
"ICMADOPHILA",119696
"ILLOSPORIOPSIS",319243
"ILLOSPORIUM",175713
"IMMERSARIA",175710
"IMSHAUGIA",175754
"INGVARIELLA",379025
"INODERMA",532104
"INTRALICHEN",463146
"INVOLUCROPYRENIUM",463151
"IONASPIS",175708
"JAMESIELLA",463154
"JAPEWIA",175709
"JAPEWIELLA",707324
"JARXIA",464917
"JULELLA",175698
"KAERNEFELTIA",154205
"KALCHBRENNERIELLA",463164
"KARSCHIA",175749
"KARSTENIOMYCES",463168
"KEPHARTIA",465274
"KILIASIA",NA
"KIRSCHSTEINIOTHELIA",374831
"KNUFIA",993478
"KOERBERIA",176028
"KOERBERIELLA",175688
"KOHLMEYERA",379112
"LABROCARPON",986365
"LAEVIOMYCES",175561
"LAHMIA",867907
"LAMBIELLA",464925
"LASALLIA",125717
"LASIOSPHAERIOPSIS",463175
"LATHAGRIUM",464241
"LAUDERLINDSAYA",117871
"LAURERA",175682
"LECANACTIS",175586
"LECANIA",175614
"LECANOGRAPHA",175655
"LECANORA",50252
"LECANOROPSIS",NA
"LECIDEA",154107
"LECIDELLA",175657
"LECIDOMA",175662
"LECIOGRAPHA",463715
"LECIOPHYSMA",175603
"LEIGHTONIOMYCES",463319
"LEIMONIS",463322
"LEIODERMA",175635
"LEIORREUMA",463324
"LEMMOPSIS",463329
"LEMPHOLEMMA",175591
"LEPIDOCOLLEMA",464923
"LEPIDOMA",NA
"LEPRA",154184
"LEPRARIA",154184
"LEPROCAULON",117976
"LEPROCOLLEMA",463367
"LEPROLOMA",154184
"LEPROPLACA",464921
"LEPTOCHIDIUM",175585
"LEPTOGIDIUM",466744
"LEPTOGIUM",123114
"LEPTORHAPHIS",175623
"LEPTOSPHAERULINA",175656
"LEPTOTREMA",379076
"LETHARIA",54623
"LETHARIICOLA",907761
"LETROUITIA",175558
"LETTAUIA",175567
"LEUCOCARPIA",175382
"LEUCODECTON",379079
"LEUCOGYROPHANA",118232
"LICHENOBARYA",960964
"LICHENOCHORA",175616
"LICHENOCONIUM",67746
"LICHENODIPLIS",175561
"LICHENOMPHALIA",118252
"LICHENOPELTELLA",379084
"LICHENOPUCCINIA",463416
"LICHENOSTICTA",175624
"LICHENOSTIGMA",175643
"LICHENOTHELIA",175634
