City	Observations	Species	People
Mendocino County, California, USA	1407	624	106
Mendoza, Mendoza, Argentina	262	157	22
Minneapolis-St. Paul, Minnesota, USA	5550	815	583
Mombasa, Kenya	0	0	0
Montecarlo, Misiones, Argentina	96	49	4
Monterrey zona metropolitana, Nuevo Leon, México	1663	646	70
Montréal, Québec, Canada	640	241	96
Morelia, Michoacán, México	2398	871	52
Moscow, Moscow, Russia	5969	637	63
Nairobi, Kenya	19	18	10
Nanning, Guangxi, China	1123	393	28
Napoli, Campania, Italy	8	8	1
Narok, Kenya	1	1	1
Nashville, Tennessee, USA	2611	805	245
Nelson Mandela Bay, Eastern Cape, South Africa	701	403	23
New Orleans, Louisiana, USA	565	355	144
New York City, New York, USA	7545	967	364
North East England, North East England, UK	5281	817	177
North Taiwan, Taipei, Taiwan	11941	2004	426
Northern Colorado, Colorado, USA	922	381	122
Nottingham City, Midlands, UK	2707	673	104
Oahu, Hawaii, USA	447	217	40
Omaha, Nebraska, USA	1880	549	185
Orange County, California, USA	3921	1078	281
Ostuni, Puglia, Italy	430	35	5
Ottawa-Gatineau (NCR), Ontario/Québec, Canada	2894	687	203
Palermo, Sicilia, Italy	4	3	3
Panamá, Panamá, Panamá	2347	785	118
Paso de Ovejas, Veracruz, México	181	110	3
Pereira, Risaralda, Colombia	180	147	5
Perú, Perú	1648	534	385
Pioneer Valley, Massachusetts, USA	1240	438	110
Pittsburgh Region, Pennsylvania, USA	8290	1414	487
Playa del Carmen-Tulum- Puerto Morelos (Riviera Maya), Quintana Roo, México	950	385	49
Port Aransas (Mustang Island), Texas, USA	771	342	37
Port Harcourt/Eagle Island, Rivers/Nigeria, Nigeria	0	0	0
Posadas, Misiones, Argentina	157	92	17
Prague, Czech Republic	9955	1268	404
Puebla, Puebla, México	922	381	41
Puerto Iguazú, Misiones, Argentina	492	257	20
Querétaro, Querétaro, México	323	212	19
Redlands City, Queensland, Australia	290	174	33
Riberalta, Vaca Diez/Beni, Bolivia	1621	612	31
Richmond, British Columbia, Canada	877	354	60
Rio Branco, Brazil	1250	441	18
Rochester, New York, USA	295	152	57
Rock River Valley (Rockford), Illinois, USA	5577	757	144
Rosario, Santa Fé, Argentina	58	41	8
Río Grande, Tierra del Fuego, Antártida e Islas del Atlántico Sur, Argentina	45	37	2
Sacramento, California, USA	8703	1654	742
Salta, Salta, Argentina	249	130	9
San Antonio de Areco, Buenos Aires, Argentina	0	0	0
