id,user.id,user.login,user.observations_count,user.identifications_count,user.created_at,observed_on,place.id,city,location.lat,location.lon,mappable,taxon.id,taxon.name,taxon.rank,quality_grade
22742077,1556915,chriscb,29,0,2019-03-27T07:08:59+00:00,4/14/2019,54321,San Francisco Bay Area,38.56591667,-122.788605,TRUE,57807,Teloschistes flavicans,species,needs_id
22690058,1234623,birdysanders,72,14,2018-09-26T00:15:19+00:00,4/15/2019,NA,NA,34.04024015,-117.1001474,TRUE,55576,Xanthoria parietina,species,needs_id
22661533,317669,alex_bairstow,14165,8987,2016-08-31T02:14:00+00:00,4/15/2019,NA,NA,40.87726486,-124.0746651,TRUE,49490,Cladonia,genus,needs_id
22658898,167833,agave6_tomwalker,2130,4235,2016-01-09T16:04:42+00:00,4/12/2019,NA,NA,36.568716,-121.858048,TRUE,117900,Usnea rubicunda,species,research
22646156,77293,moventrice,1164,131,2015-02-17T23:09:38+00:00,4/14/2019,54321,San Francisco Bay Area,37.33780858,-122.2596794,TRUE,117988,Hypogymnia,genus,needs_id
22643226,97486,bugsoundsjc,988,457,2015-05-09T15:34:54+00:00,4/15/2019,NA,NA,35.9982,-121.3863,TRUE,123176,Evernia,genus,needs_id
22638014,245546,drumskibird,113,0,2016-05-21T19:04:12+00:00,4/14/2019,139279,Sacramento Region,39.24126447,-120.1405371,TRUE,54608,Letharia columbiana,species,research
22631275,3494,damontighe,50787,18467,2011-11-01T22:52:59+00:00,4/14/2019,54321,San Francisco Bay Area,37.60493333,-121.6650167,TRUE,532267,Rusavskia elegans,species,needs_id
22603285,981042,swampchicken,4477,5995,2018-05-23T15:32:32+00:00,4/12/2019,54321,San Francisco Bay Area,38.168695,-122.642355,TRUE,59968,Umbilicaria,genus,needs_id
22597539,276616,kinderteacher,659,11,2016-07-24T15:43:07+00:00,4/13/2019,54321,San Francisco Bay Area,37.928502,-122.685839,TRUE,49490,Cladonia,genus,needs_id
22596032,132236,flygrl67,7387,3931,2015-09-13T21:04:03+00:00,4/15/2019,54321,San Francisco Bay Area,38.5114829,-123.3300677,TRUE,118245,Lichenomphalia umbellifera,species,research
22591753,1601206,brendanhiggins,136,43,2019-04-12T00:49:45+00:00,4/14/2019,NA,NA,36.47736667,-121.18747,TRUE,69163,Caloplaca,genus,needs_id
22587732,218487,kristin13,46,0,2016-04-16T18:56:08+00:00,4/14/2019,NA,NA,39.26562612,-123.7370813,TRUE,117988,Hypogymnia,genus,needs_id
22585027,48333,thierola,689,1,2014-08-16T03:04:29+00:00,4/14/2019,NA,NA,37.04368088,-122.0702247,TRUE,119669,Cladonia cristatella,species,needs_id
22565628,132236,flygrl67,7387,3931,2015-09-13T21:04:03+00:00,4/15/2019,54321,San Francisco Bay Area,38.45732833,-123.2195737,TRUE,117988,Hypogymnia,genus,needs_id
22563308,1491841,daturademon,1150,467,2019-02-24T12:34:20+00:00,4/15/2019,NA,NA,35.05731667,-118.4794528,TRUE,532267,Rusavskia elegans,species,needs_id
22563305,1491841,daturademon,1150,467,2019-02-24T12:34:20+00:00,4/15/2019,NA,NA,35.05681389,-118.4787139,TRUE,117932,Acarospora,genus,needs_id
22563300,1491841,daturademon,1150,467,2019-02-24T12:34:20+00:00,4/15/2019,NA,NA,35.06400607,-118.4837723,TRUE,117877,Physcia aipolia,species,needs_id
