"City","Year","Comparison","rate_before","rate","rate_difference","Chisq","P"
"Baton Rouge, Louisiana, USA",2021,"during",0.00523952095808383,0.00551398188263096,0.000274460924547125,5.70732532794648e-27,0.99999999999994
"Baton Rouge, Louisiana, USA",2021,"after",0.00523952095808383,0,-0.00523952095808383,NA,NA
"Baton Rouge, Louisiana, USA",2022,"during",0,0.00341644253834412,0.00341644253834412,NA,NA
"Baton Rouge, Louisiana, USA",2022,"after",0,0,0,NA,NA
"Berlin, Germany",2019,"during",0.056,0,-0.056,NA,NA
"Berlin, Germany",2019,"after",0.056,0.00245098039215686,-0.0535490196078431,NA,NA
"Berlin, Germany",2021,"during",0.00334448160535117,0.0282025819265144,0.0248581003211632,5.5619252635535,0.0183552176899598
"Berlin, Germany",2021,"after",0.00334448160535117,0.00952380952380952,0.00617932791845835,NA,NA
"Berlin, Germany",2022,"during",0,0.0383110195674562,0.0383110195674562,17.4393935639716,2.9661465521224e-05
"Berlin, Germany",2022,"after",0,0.00183150183150183,0.00183150183150183,NA,NA
"Birmingham & Black Country, Midlands, UK",2020,"during",0,0.00256683152820384,0.00256683152820384,NA,NA
"Birmingham & Black Country, Midlands, UK",2020,"after",0,0.0016,0.0016,NA,NA
"Birmingham & Black Country, Midlands, UK",2021,"during",0.00289855072463768,0.00442860228991143,0.00153005156527375,NA,NA
"Birmingham & Black Country, Midlands, UK",2021,"after",0.00289855072463768,0.0050761421319797,0.00217759140734201,NA,NA
"Birmingham & Black Country, Midlands, UK",2022,"during",0,0.00772652774525872,0.00772652774525872,NA,NA
"Birmingham & Black Country, Midlands, UK",2022,"after",0,0,0,NA,NA
"Birmingham Metro Area, Alabama, USA",2019,"during",0,0.0109273479031305,0.0109273479031305,NA,NA
"Birmingham Metro Area, Alabama, USA",2019,"after",0,0.00333333333333333,0.00333333333333333,NA,NA
"Birmingham Metro Area, Alabama, USA",2020,"during",0.00203252032520325,0.0119305856832972,0.00989806535809393,NA,NA
"Birmingham Metro Area, Alabama, USA",2020,"after",0.00203252032520325,0.0068259385665529,0.00479341824134965,NA,NA
"Birmingham Metro Area, Alabama, USA",2021,"during",0.00802407221664995,0.00496277915632754,-0.00306129306032241,0.391846979037951,0.531330145540249
"Birmingham Metro Area, Alabama, USA",2021,"after",0.00802407221664995,0,-0.00802407221664995,NA,NA
"Bogotá, Colombia",2018,"during",0,0.014033780427223,0.014033780427223,NA,NA
"Bogotá, Colombia",2018,"after",0,0,0,NA,NA
"Bogotá, Colombia",2019,"during",0.0180722891566265,0.00638737554010896,-0.0116849136165175,NA,NA
"Bogotá, Colombia",2019,"after",0.0180722891566265,0.00357142857142857,-0.0145008605851979,NA,NA
"Bogotá, Colombia",2021,"during",0,0.00246875482178676,0.00246875482178676,NA,NA
"Bogotá, Colombia",2021,"after",0,0.00789473684210526,0.00789473684210526,NA,NA
"Bogotá, Colombia",2022,"during",0.00354609929078014,0.00562040639861652,0.00207430710783637,NA,NA
"Bogotá, Colombia",2022,"after",0.00354609929078014,0.0171919770773639,0.0136458777865838,NA,NA
"Boise, Idaho, USA",2021,"during",0,0.00348321722609246,0.00348321722609246,NA,NA
"Boise, Idaho, USA",2021,"after",0,0,0,NA,NA
"Boise, Idaho, USA",2022,"during",0.0215827338129496,0.00488671701466015,-0.0166960167982895,NA,NA
"Boise, Idaho, USA",2022,"after",0.0215827338129496,0,-0.0215827338129496,NA,NA
"Bolzano, South Tyrol, Italy",2020,"during",0,0.00396039603960396,0.00396039603960396,NA,NA
"Bolzano, South Tyrol, Italy",2020,"after",0,0,0,NA,NA
"Boston, Massachusetts, USA",2018,"during",0.0103703703703704,0.0166166766646671,0.0062463062942967,1.17001470688526,0.279398218661203
"Boston, Massachusetts, USA",2018,"after",0.0103703703703704,0.00221483942414175,-0.00815553094622862,NA,NA
"Boston, Massachusetts, USA",2019,"during",0.0157142857142857,0.0132395329522693,-0.00247475276201643,10.8471990932656,0.00098945304266522
"Boston, Massachusetts, USA",2019,"after",0.0157142857142857,0.00327011118378025,-0.0124441745305055,NA,NA
"Boston, Massachusetts, USA",2020,"during",0.0137201097608781,0.0230438744955084,0.00932376473463031,4.10158046710061,0.0428431465591085
"Boston, Massachusetts, USA",2020,"after",0.0137201097608781,0.008058017727639,-0.00566209203323909,NA,NA
"Boston, Massachusetts, USA",2021,"during",0.0159106296547055,0.0141912987065645,-0.00171933094814099,52.1972168047448,5.01972304802996e-13
"Boston, Massachusetts, USA",2021,"after",0.0159106296547055,0.00270539655417913,-0.0132052331005264,NA,NA
"Boston, Massachusetts, USA",2022,"during",0.0115821678321678,0.0124627720504009,0.000880604218233084,33.1934453617614,8.34312918800169e-09
"Boston, Massachusetts, USA",2022,"after",0.0115821678321678,0.00242561448900388,-0.00915655334316395,NA,NA
"Brasília, Brasil",2019,"during",0,0.00124688279301746,0.00124688279301746,NA,NA
"Brasília, Brasil",2019,"after",0,0,0,NA,NA
"Brasília, Brasil",2021,"during",0.00217391304347826,0.00329398847104035,0.00112007542756209,NA,NA
"Brasília, Brasil",2021,"after",0.00217391304347826,0,-0.00217391304347826,NA,NA
"Brasília, Brasil",2022,"during",0,0.000910746812386157,0.000910746812386157,NA,NA
"Brasília, Brasil",2022,"after",0,0.00251256281407035,0.00251256281407035,NA,NA
"Brighton, Sussex, UK",2020,"during",0,0.0093603744149766,0.0093603744149766,NA,NA
"Brighton, Sussex, UK",2020,"after",0,0,0,NA,NA
"Brighton, Sussex, UK",2021,"during",0,0.0124304874059535,0.0124304874059535,NA,NA
"Brighton, Sussex, UK",2021,"after",0,0.00571428571428571,0.00571428571428571,NA,NA
"Brighton, Sussex, UK",2022,"during",0.00537634408602151,0.00617890745681786,0.000802563370796357,NA,NA
"Brighton, Sussex, UK",2022,"after",0.00537634408602151,0,-0.00537634408602151,NA,NA
"Bristol & Bath City Region, UK",2018,"during",0.00526315789473684,0.00781085074941946,0.00254769285468262,NA,NA
"Bristol & Bath City Region, UK",2018,"after",0.00526315789473684,0,-0.00526315789473684,NA,NA
"Bristol & Bath City Region, UK",2019,"during",0,0.00981490020420262,0.00981490020420262,NA,NA
"Bristol & Bath City Region, UK",2019,"after",0,0.00288184438040346,0.00288184438040346,NA,NA
"Bristol & Bath City Region, UK",2020,"during",0,0.00358945597307908,0.00358945597307908,NA,NA
"Bristol & Bath City Region, UK",2020,"after",0,0,0,NA,NA
"Bristol & Bath City Region, UK",2021,"during",0.00398406374501992,0.00438900438900439,0.000404940643984469,NA,NA
"Bristol & Bath City Region, UK",2021,"after",0.00398406374501992,0.0062015503875969,0.00221748664257698,NA,NA
"Bristol & Bath City Region, UK",2022,"during",0.00126422250316056,0.00562078441169123,0.00435656190853068,NA,NA
"Bristol & Bath City Region, UK",2022,"after",0.00126422250316056,0,-0.00126422250316056,NA,NA
"Brno, Czech Republic",2020,"during",0,0.00489089541008277,0.00489089541008277,NA,NA
"Brno, Czech Republic",2020,"after",0,0,0,NA,NA
"Brno, Czech Republic",2021,"during",0.0134228187919463,0.00472989793378143,-0.00869292085816488,NA,NA
"Brno, Czech Republic",2021,"after",0.0134228187919463,0,-0.0134228187919463,NA,NA
"Brno, Czech Republic",2022,"during",0.00543478260869565,0.00402481972161664,-0.00140996288707902,NA,NA
"Brno, Czech Republic",2022,"after",0.00543478260869565,0,-0.00543478260869565,NA,NA
"Bryan/College Station, Texas, USA",2022,"during",0,0.00463320463320463,0.00463320463320463,NA,NA
"Bryan/College Station, Texas, USA",2022,"after",0,0,0,NA,NA
"Bucaramanga, Santander, Colombia",2021,"during",0,0.000488698839340257,0.000488698839340257,NA,NA
"Bucaramanga, Santander, Colombia",2021,"after",0,0,0,NA,NA
"Bucaramanga, Santander, Colombia",2022,"during",0,0.00157072900304906,0.00157072900304906,NA,NA
"Bucaramanga, Santander, Colombia",2022,"after",0,0,0,NA,NA
"Buenos Aires, Argentina",2019,"during",0,0.000750750750750751,0.000750750750750751,NA,NA
"Buenos Aires, Argentina",2019,"after",0,0,0,NA,NA
"Buenos Aires, Argentina",2020,"during",0.00279329608938547,0,-0.00279329608938547,NA,NA
"Buenos Aires, Argentina",2020,"after",0.00279329608938547,0,-0.00279329608938547,NA,NA
"Buenos Aires, Argentina",2021,"during",0,0.000691802144586648,0.000691802144586648,NA,NA
"Buenos Aires, Argentina",2021,"after",0,0.00181488203266788,0.00181488203266788,NA,NA
"Buenos Aires, Argentina",2022,"during",0,0.0018348623853211,0.0018348623853211,NA,NA
"Buenos Aires, Argentina",2022,"after",0,0,0,NA,NA
"Burlington/Winooski, Vermont, USA",2021,"during",0,0.00361570247933884,0.00361570247933884,NA,NA
"Burlington/Winooski, Vermont, USA",2021,"after",0,0.0037037037037037,0.0037037037037037,NA,NA
"Burlington/Winooski, Vermont, USA",2022,"during",0,0.00676406926406926,0.00676406926406926,NA,NA
"Burlington/Winooski, Vermont, USA",2022,"after",0,0,0,NA,NA
"Cabarrus County, North Carolina, USA",2018,"during",0,0.00633731816217773,0.00633731816217773,NA,NA
"Cabarrus County, North Carolina, USA",2018,"after",0,0,0,NA,NA
"Calgary, Canada",2019,"during",0.0179372197309417,0.00964125560538117,-0.00829596412556054,NA,NA
"Calgary, Canada",2019,"after",0.0179372197309417,0.00523560209424084,-0.0127016176367009,NA,NA
"Calgary, Canada",2020,"during",0.00769230769230769,0.0176767676767677,0.00998445998445998,NA,NA
"Calgary, Canada",2020,"after",0.00769230769230769,0.0228758169934641,0.0151835093011564,NA,NA
"Calgary, Canada",2021,"during",0.028328611898017,0.024212715389186,-0.00411589650883102,0.0895411698655142,0.764761275402719
"Calgary, Canada",2021,"after",0.028328611898017,0.0016025641025641,-0.0267260477954529,NA,NA
"Calgary, Canada",2022,"during",0.0201612903225806,0.0237603305785124,0.00359904025593175,0.0211416646711611,0.884393694536909
"Calgary, Canada",2022,"after",0.0201612903225806,0.00418994413407821,-0.0159713461885024,NA,NA
"Cape Town, Western Cape, South Africa",2019,"during",0,0.00371271046427444,0.00371271046427444,NA,NA
"Cape Town, Western Cape, South Africa",2019,"after",0,0.00792751981879955,0.00792751981879955,NA,NA
"Cape Town, Western Cape, South Africa",2020,"during",0,0.00325723253679192,0.00325723253679192,NA,NA
"Cape Town, Western Cape, South Africa",2020,"after",0,0,0,NA,NA
"Cape Town, Western Cape, South Africa",2021,"during",0.0104287369640788,0.00317353329401522,-0.00725520367006357,NA,NA
"Cape Town, Western Cape, South Africa",2021,"after",0.0104287369640788,0.00168067226890756,-0.00874806469517123,NA,NA
"Cape Town, Western Cape, South Africa",2022,"during",0.00786369593709043,0.00450660217218225,-0.00335709376490818,0.0352740270383059,0.851022609995623
"Cape Town, Western Cape, South Africa",2022,"after",0.00786369593709043,0.00661813368630046,-0.00124556225078997,NA,NA
"Central Taiwan, Taiwan",2020,"during",0,0.000845844787481497,0.000845844787481497,NA,NA
"Central Taiwan, Taiwan",2020,"after",0,0,0,NA,NA
"Central Taiwan, Taiwan",2021,"during",0,0.000829416643627315,0.000829416643627315,NA,NA
"Central Taiwan, Taiwan",2021,"after",0,0.00274473924977127,0.00274473924977127,NA,NA
"Central Taiwan, Taiwan",2022,"during",0.000902527075812274,0.00338655055636188,0.0024840234805496,NA,NA
"Central Taiwan, Taiwan",2022,"after",0.000902527075812274,0,-0.000902527075812274,NA,NA
"Charlotte, North Carolina, USA",2019,"during",0.0149253731343284,0.00574250602963133,-0.00918286710469703,NA,NA
"Charlotte, North Carolina, USA",2019,"after",0.0149253731343284,0,-0.0149253731343284,NA,NA
"Charlotte, North Carolina, USA",2020,"during",0.00231749710312862,0.00407331975560081,0.00175582265247219,NA,NA
"Charlotte, North Carolina, USA",2020,"after",0.00231749710312862,0.00559006211180124,0.00327256500867262,NA,NA
"Charlotte, North Carolina, USA",2021,"during",0.0028735632183908,0.00717079530638853,0.00429723208799772,1.70147209830453,0.192095571244611
"Charlotte, North Carolina, USA",2021,"after",0.0028735632183908,0.00177304964539007,-0.00110051357300073,NA,NA
"Charlotte, North Carolina, USA",2022,"during",0.00527426160337553,0.00625411454904542,0.000979852945669897,0.00960398803321248,0.921932341850277
"Charlotte, North Carolina, USA",2022,"after",0.00527426160337553,0,-0.00527426160337553,NA,NA
"Charlottesville, Virginia, USA",2018,"during",0,0.019559902200489,0.019559902200489,NA,NA
"Charlottesville, Virginia, USA",2018,"after",0,0,0,NA,NA
"Charlottesville, Virginia, USA",2019,"during",0.00775193798449612,0,-0.00775193798449612,NA,NA
"Charlottesville, Virginia, USA",2019,"after",0.00775193798449612,0.0131578947368421,0.00540595675234598,NA,NA
"Charlottesville, Virginia, USA",2020,"during",0,0.00604432505036938,0.00604432505036938,NA,NA
"Charlottesville, Virginia, USA",2020,"after",0,0,0,NA,NA
"Charlottesville, Virginia, USA",2021,"during",0.00707213578500707,0.00377121307353866,-0.00330092271146842,NA,NA
"Charlottesville, Virginia, USA",2021,"after",0.00707213578500707,0.00144300144300144,-0.00562913434200563,NA,NA
"Charlottesville, Virginia, USA",2022,"during",0.00284900284900285,0.0024330900243309,-0.000415912824671949,NA,NA
"Charlottesville, Virginia, USA",2022,"after",0.00284900284900285,0.00350058343057176,0.000651580581568913,NA,NA
"Chattanooga, Tennessee, USA",2020,"during",0.00127226463104326,0.00712656784492588,0.00585430321388263,NA,NA
"Chattanooga, Tennessee, USA",2020,"after",0.00127226463104326,0.0081383519837233,0.00686608735268004,NA,NA
"Chattanooga, Tennessee, USA",2021,"during",0.00360144057623049,0.00301783264746228,-0.000583607928768215,0.00747587235479103,0.931098266546281
"Chattanooga, Tennessee, USA",2021,"after",0.00360144057623049,0.00136612021857923,-0.00223532035765126,NA,NA
"Chattanooga, Tennessee, USA",2022,"during",0.00331858407079646,0.00781738586616635,0.00449880179536989,1.47245763329018,0.224958334515526
"Chattanooga, Tennessee, USA",2022,"after",0.00331858407079646,0.00250469630557295,-0.000813887765223511,NA,NA
"Chiayi-Yunlin, Taiwan",2019,"during",0.00134770889487871,0.00039412750024633,-0.000953581394632377,NA,NA
"Chiayi-Yunlin, Taiwan",2019,"after",0.00134770889487871,0,-0.00134770889487871,NA,NA
"Chiayi-Yunlin, Taiwan",2020,"during",0,8.41467519353753e-05,8.41467519353753e-05,NA,NA
"Chiayi-Yunlin, Taiwan",2020,"after",0,0.00294985250737463,0.00294985250737463,NA,NA
"Chiayi-Yunlin, Taiwan",2021,"during",0,0.000288533671879508,0.000288533671879508,NA,NA
"Chiayi-Yunlin, Taiwan",2021,"after",0,0,0,NA,NA
"Chiayi-Yunlin, Taiwan",2022,"during",0,0.000873586844809866,0.000873586844809866,NA,NA
"Chiayi-Yunlin, Taiwan",2022,"after",0,0,0,NA,NA
"Chicago, Illinois, USA",2018,"during",0.0050125313283208,0.00701905171178914,0.00200652038346834,NA,NA
"Chicago, Illinois, USA",2018,"after",0.0050125313283208,0.000607164541590771,-0.00440536678673003,NA,NA
"Chicago, Illinois, USA",2019,"during",0.00102249488752556,0.00761951579206096,0.00659702090453539,4.57045665342995,0.0325278934930127
"Chicago, Illinois, USA",2019,"after",0.00102249488752556,0.000696378830083565,-0.000326116057441997,NA,NA
"Chicago, Illinois, USA",2020,"during",0.00223713646532438,0.00247135475174118,0.000234218286416797,NA,NA
"Chicago, Illinois, USA",2020,"after",0.00223713646532438,0.00123609394313968,-0.00100104252218471,NA,NA
"Chicago, Illinois, USA",2021,"during",0.00120977498185338,0.00295976321894248,0.00174998823708911,2.11203364551187e-29,0.999999999999996
"Chicago, Illinois, USA",2021,"after",0.00120977498185338,0.00125726858400126,4.74936021478819e-05,NA,NA
"Chicago, Illinois, USA",2022,"during",0.0110813909056171,0.00483447188649501,-0.00624691901912211,46.2738572134852,1.02826837792332e-11
"Chicago, Illinois, USA",2022,"after",0.0110813909056171,0.000391696043869957,-0.0106896948617472,NA,NA
"Chiriquí, Panamá",2020,"during",0,0.00321993560128797,0.00321993560128797,NA,NA
"Chiriquí, Panamá",2020,"after",0,0,0,NA,NA
"Chiriquí, Panamá",2021,"during",0,0.00349192492361414,0.00349192492361414,NA,NA
"Chiriquí, Panamá",2021,"after",0,0,0,NA,NA
"Chiriquí, Panamá",2022,"during",0,0.00182666937284352,0.00182666937284352,NA,NA
"Chiriquí, Panamá",2022,"after",0,0.004149377593361,0.004149377593361,NA,NA
"Chur, Chur, Switzerland",2022,"during",0.0252100840336134,0.00112866817155756,-0.0240814158620559,44.3231201035966,2.7840863767498e-11
"Chur, Chur, Switzerland",2022,"after",0.0252100840336134,0.00569139966273187,-0.0195186843708816,NA,NA
"Cincinnati, Ohio, USA",2021,"during",0.000901713255184851,0.00173460537727667,0.000832892122091818,NA,NA
"Cincinnati, Ohio, USA",2021,"after",0.000901713255184851,0,-0.000901713255184851,NA,NA
"Cincinnati, Ohio, USA",2022,"during",0,0.0027124773960217,0.0027124773960217,NA,NA
"Cincinnati, Ohio, USA",2022,"after",0,0,0,NA,NA
"Ciudad de México, México",2019,"during",0,0.00294476035743298,0.00294476035743298,NA,NA
"Ciudad de México, México",2019,"after",0,0,0,NA,NA
"Ciudad de México, México",2021,"during",0,0.00286861732644865,0.00286861732644865,NA,NA
"Ciudad de México, México",2021,"after",0,0.00124378109452736,0.00124378109452736,NA,NA
"Ciudad de México, México",2022,"during",0.00227014755959137,0.00572229358869555,0.00345214602910418,6.27590077474935,0.0122390889932721
"Ciudad de México, México",2022,"after",0.00227014755959137,0.0144578313253012,0.0121876837657098,NA,NA
"Ciudad de Panamá, Panamá",2019,"during",0,0.0013420245398773,0.0013420245398773,NA,NA
"Ciudad de Panamá, Panamá",2019,"after",0,0.00253164556962025,0.00253164556962025,NA,NA
"Ciudad de Panamá, Panamá",2020,"during",0,0.00126903553299492,0.00126903553299492,NA,NA
"Ciudad de Panamá, Panamá",2020,"after",0,0,0,NA,NA
"Ciudad de Panamá, Panamá",2021,"during",0,0.000646621403168445,0.000646621403168445,NA,NA
"Ciudad de Panamá, Panamá",2021,"after",0,0.00393700787401575,0.00393700787401575,NA,NA
"Ciudad de Panamá, Panamá",2022,"during",0,0.00197433366238894,0.00197433366238894,NA,NA
"Ciudad de Panamá, Panamá",2022,"after",0,0,0,NA,NA
"Cleveland-Akron-Canton, OH, USA",2018,"during",0.0278372591006424,0.0187594553706505,-0.00907780372999187,0.0103594257877131,0.918930297233847
"Cleveland-Akron-Canton, OH, USA",2018,"after",0.0278372591006424,0.0254730713245997,-0.00236418777604269,NA,NA
"Cleveland-Akron-Canton, OH, USA",2019,"during",0.0321428571428571,0.0202466837328369,-0.0118961734100203,17.2796620674494,3.22621517984243e-05
"Cleveland-Akron-Canton, OH, USA",2019,"after",0.0321428571428571,0.00842865743527995,-0.0237141997075772,NA,NA
"Cleveland-Akron-Canton, OH, USA",2020,"during",0.00477707006369427,0.00736235595390525,0.00258528589021098,0.00662506958197029,0.93512819877401
"Cleveland-Akron-Canton, OH, USA",2020,"after",0.00477707006369427,0.00393894633185623,-0.000838123731838039,NA,NA
"Cleveland-Akron-Canton, OH, USA",2021,"during",0.00240673886883273,0.0029057700290577,0.000499031160224969,1.49527348726549e-27,0.999999999999969
"Cleveland-Akron-Canton, OH, USA",2021,"after",0.00240673886883273,0.00224502886465683,-0.0001617100041759,NA,NA
"Cleveland-Akron-Canton, OH, USA",2022,"during",0.00418702023726448,0.00523560209424084,0.00104858185697636,0.0881163314841497,0.766585648603197
"Cleveland-Akron-Canton, OH, USA",2022,"after",0.00418702023726448,0.0015812062344703,-0.00260581400279418,NA,NA
"Colón, Panamá",2020,"during",0,0.00105180120957139,0.00105180120957139,NA,NA
"Colón, Panamá",2020,"after",0,0,0,NA,NA
"Colón, Panamá",2021,"during",0,0.00149253731343284,0.00149253731343284,NA,NA
"Colón, Panamá",2021,"after",0,0,0,NA,NA
"Colón, Panamá",2022,"during",0,0,0,NA,NA
"Colón, Panamá",2022,"after",0,0.010752688172043,0.010752688172043,NA,NA
"Colorado Springs, Colorado, USA",2019,"during",0,0.00777000777000777,0.00777000777000777,NA,NA
"Colorado Springs, Colorado, USA",2019,"after",0,0,0,NA,NA
"Colorado Springs, Colorado, USA",2020,"during",0,0.0103746397694524,0.0103746397694524,NA,NA
"Colorado Springs, Colorado, USA",2020,"after",0,0.00512820512820513,0.00512820512820513,NA,NA
"Colorado Springs, Colorado, USA",2021,"during",0,0.00502008032128514,0.00502008032128514,NA,NA
"Colorado Springs, Colorado, USA",2021,"after",0,0.00516795865633075,0.00516795865633075,NA,NA
"Colorado Springs, Colorado, USA",2022,"during",0.0526315789473684,0.0115830115830116,-0.0410485673643568,NA,NA
"Colorado Springs, Colorado, USA",2022,"after",0.0526315789473684,0.00681818181818182,-0.0458133971291866,NA,NA
"Columbus, Ohio, USA",2021,"during",0.00138888888888889,0,-0.00138888888888889,NA,NA
"Columbus, Ohio, USA",2021,"after",0.00138888888888889,0,-0.00138888888888889,NA,NA
"Columbus, Ohio, USA",2022,"during",0.00126262626262626,0.00172314761631246,0.000460521353686201,NA,NA
"Columbus, Ohio, USA",2022,"after",0.00126262626262626,0.00610873549175321,0.00484610922912694,NA,NA
"Copenhagen, Denmark",2020,"during",0,0.0215182307232516,0.0215182307232516,NA,NA
"Copenhagen, Denmark",2020,"after",0,0.00378071833648393,0.00378071833648393,NA,NA
"Copenhagen, Denmark",2021,"during",0.0036697247706422,0.0117328519855596,0.00806312721491736,2.04784782996523,0.152421520318287
