"user.login","year","n_obs","n_taxa"
"lenaz","2019",1,1
"lenaz","2020",1,1
"leslie_flint","2019",15,13
"leslie_flint","2020",13,12
"lglevanik","2019",1,1
"lgottlieb","2019",27,17
"lgottlieb","2020",25,19
"lhiggins","2019",1,1
"linda228","2019",2,2
"lindagal2","2019",1,1
"lindagal2","2020",1,1
"lindarasmussen","2019",1,1
"lisaredfern","2020",3,3
"lmtrapote","2019",1,1
"lopinto","2020",1,1
"lorri-gong","2019",1,1
"lorri-gong","2020",1,1
"lostlamb","2019",1,1
"lotusmorning","2019",5,4
"lpadilla","2019",2,2
"lsangines","2020",1,1
"lwvibrato","2019",2,2
"lylegordon","2019",1,1
"lyneag","2019",1,1
"lynn2","2020",1,1
"macmuir","2020",2,2
"malacothrix","2019",1,1
"mangos","2020",4,4
"marinmaverick","2020",1,1
"marycollie","2020",2,2
"marymchurchill","2019",21,9
"marymchurchill","2020",17,10
"marytsao","2020",1,1
"matthew_bettelheim","2020",2,1
"matthewmcintosh1","2020",1,1
"mboeger","2020",3,3
"mckenzie_macdonald","2019",1,1
"meandmygirls3","2020",1,1
"melbobs","2019",2,2
"meldel","2019",2,2
"melissamonjaraz","2020",1,1
"mellestra","2020",2,2
"mendocinocoastbotanicalgardens","2020",2,2
"merav","2019",16,13
"merav","2020",2,2
"meredithfenyo","2019",2,2
"merrikbush","2020",1,1
"metsa","2019",31,22
"metsa","2020",39,28
"mharte","2019",1,1
"mightymightymango","2020",1,1
"mikethebirder","2019",95,55
"mikethebirder","2020",22,14
"milliebasden","2019",4,4
"milliebasden","2020",8,8
"miriamklingler","2020",1,1
"miroslava_munguia","2019",1,1
"missamanda","2020",2,2
"mkfitzgerald","2019",2,2
"mlf","2019",1,1
"momeara","2019",1,1
"monto","2020",2,2
"moonlittrails","2019",1,1
"morganwyatt","2019",1,1
"motmot","2019",1,1
"mpkw","2019",1,1
"mrmaple","2020",4,4
"mserrano02","2019",2,2
"mwangbickler","2019",2,2
"mwloch","2019",1,1
"mynat-3-","2020",1,1
"nancyasquith","2019",10,9
"nancyasquith","2020",3,3
"naturalistspace","2019",4,4
"naturalistspace","2020",6,5
"naturalizt","2020",1,1
"naturenate","2019",1,1
"natures4me","2019",2,2
"naturesarchive","2020",1,1
"naturewithnan","2019",3,2
"ncarbone88","2020",2,2
"neontetraploid","2019",1,1
"newtpatrol","2019",10,9
"nicholedyan","2020",3,3
"nickcarpenter","2020",1,1
"nickscho_","2020",1,1
"nicola233","2020",2,2
"niltonserson","2019",1,1
"nishasukheja","2019",1,1
"nlekach","2019",9,9
"nlekach","2020",2,2
"nora32","2019",1,1
"noreen8","2020",3,2
"nptialiu","2020",2,2
"ocean_beach_goth","2019",1,1
"ocean_beach_goth","2020",1,1
"ochoa_allyson","2019",1,1
"oliviavandamme","2020",2,2
"outsidewonderlabk12","2020",1,1
"ovelten-lomelin","2019",3,3
"palomarbeth","2020",2,2
"patsimpson2000","2019",13,11
"patsimpson2000","2020",5,4
"pauletteg","2019",1,1
"pchandler725","2019",1,1
"pdecino","2020",2,2
"peterngsf","2019",1,1
"petunialoo","2019",2,2
"petunialoo","2020",3,3
"pewpewbutterflies","2019",2,2
"pholroyd","2020",2,2
"phylogenomics","2019",4,2
"phylogenomics","2020",2,2
"pliffgrieff","2020",1,1
"plover52","2020",1,1
"pmccarty","2019",1,1
"pmdenn","2019",1,1
"pmdenn","2020",1,1
"pocketmouse","2019",2,2
"pocketmouse","2020",1,1
"quantron","2019",1,1
"quetalquetzal","2019",1,1
"rachelf","2020",1,1
"rachulrugg","2020",1,1
"ralphj","2020",1,1
"ramalinarose","2019",15,15
"ramalinarose","2020",8,8
"ramblinghobbit","2020",2,2
"rappman","2019",2,2
"raynacb","2020",1,1
"rebeccafay","2019",9,9
"rebeccafay","2020",17,14
"reilily","2020",1,1
"reneejutras","2020",2,2
"rich123","2019",1,1
"rljcal","2019",4,2
"rljcal","2020",3,2
"rmoger","2019",2,2
"rmoger","2020",6,6
"rochellegaudette42","2019",2,2
"rockybajada","2019",1,1
"roisinma","2020",9,5
"ronvanderhoff","2020",2,2
"rprobst","2019",1,1
"rudyard","2019",6,5
"rudyard","2020",3,3
"rupertclayton","2020",3,2
"ryanandrews","2020",2,2
"sage_and_seaweed","2019",3,3
"sandiegomike","2019",3,2
"sandylikeabeach","2019",1,1
"sarah-mae","2020",1,1
"sarah2273","2020",1,1
"sarahangulo","2019",3,3
"sarahwenner","2019",1,1
"sbstrongbeach","2020",1,1
"scarboni","2020",2,2
"schwee","2020",1,1
"scott916","2019",1,1
"screedius","2020",1,1
"scubabruin","2019",1,1
"sea-kangaroo","2019",17,12
"sea-kangaroo","2020",8,8
"seamydas","2019",1,1
"sennesand","2019",1,1
"sgcacc","2019",4,2
"shannonrankin","2020",1,1
"sheila168","2020",3,3
"shellestelle","2019",1,1
"shirazoe","2020",1,1
"sidesplotch","2019",3,2
"siekkinen","2019",3,3
"sierrasowers2","2019",1,1
"simpylmare55","2020",2,2
"siwanicki","2019",2,2
"siwanicki","2020",1,1
"sjiang96","2019",1,1
"skylarknight","2020",1,1
"skylukr","2020",1,1
"snakeinmypocket","2019",2,2
"snakeinmypocket","2020",1,1
"snickelfritz76","2019",1,1
"sonny115","2019",1,1
"spaltedalder","2020",1,1
"spheller","2019",1,1
"spheller","2020",5,3
"spifferella","2019",3,2
"sprochter","2020",5,5
"sslucas","2019",2,2
"steph_taylor","2019",11,9
"stephlbartlett","2019",1,1
"stevenyu","2019",1,1
"summermule","2020",1,1
"sunah2339","2019",1,1
"sunflowerguy","2019",2,2
"suzm","2019",14,12
"suzm","2020",2,2
"taram77","2020",2,2
"taylofayer","2019",1,1
"teamclarkia","2019",2,2
"teamwillow","2019",1,1
"ten_salamanders","2020",4,4
"tessacm","2020",1,1
"thunefeld","2020",1,1
"timweed","2019",4,4
"tiwane","2020",6,5
"tomeara","2019",1,1
"tomv","2020",8,8
"torreyn","2019",1,1
"trailblazr","2019",2,2
"truthseqr","2019",10,7
"truthseqr","2020",2,1
"tui","2019",1,1
"tui","2020",1,1
"tunich","2019",1,1
"upandadam","2019",3,3
"vermfly","2019",1,1
"vicsch","2019",3,3
"violetgoop","2019",1,1
"vireolanius","2019",4,4
"vireolanius","2020",2,2
"virusmanbob","2019",1,1
"vonbuelow","2019",1,1
"wayne1955","2019",1,1
"wbsimey","2020",18,13
"wildmare64","2020",2,2
"wildmarin","2019",1,1
"xanderstabile","2019",2,2
"yinanhua","2019",1,1
"ymjcal","2019",1,1
"ymjcal","2020",4,3
