"City","Year","Period","n_obs","n_obs_RG","n_taxa","n_users","n_obs_all","taxa"
"Eugene-Springfield, Oregon, USA",2022,"during",6,2,3,6,726,"55576 179042 49578"
"Eugene-Springfield, Oregon, USA",2022,"after",5,3,4,4,756,"48711 67747 49578 49490"
"Fairfield and Westchester County, Connecticut and New York, USA",2020,"before",5,0,4,5,663,"123176 117943 117951 155091 49490"
"Fairfield and Westchester County, Connecticut and New York, USA",2020,"during",28,9,14,18,3196,"117942 117951 148365 117943 117867 119669 194686 151767 532533 54734 182656 125773 60724 155093 125754 155092 69211"
"Fairfield and Westchester County, Connecticut and New York, USA",2020,"after",6,2,4,3,1069,"148365 155091 117887 123230 117867"
"Fairfield and Westchester County, Connecticut and New York, USA",2021,"before",4,0,4,4,1075,"49490 117951 117887 182713"
"Fairfield and Westchester County, Connecticut and New York, USA",2021,"during",13,0,7,9,2791,"182631 117943 69430 123230 69468 222950 151767 182656"
"Fairfield and Westchester County, Connecticut and New York, USA",2021,"after",3,1,3,3,1343,"55576 117943 49490"
"Fairfield and Westchester County, Connecticut and New York, USA",2022,"before",10,0,9,7,1344,"54734 182465 117877 182455 123230 69430 203800 200925 117951"
"Fairfield and Westchester County, Connecticut and New York, USA",2022,"during",15,1,10,9,2720,"222835 182657 155093 182713 182455 117951 117887 117943 155090 148365 155091 125754"
"Fort Wayne, Indiana, USA",2020,"during",6,1,5,6,1983,"119669 117943 182455 69468 151767"
"Fort Wayne, Indiana, USA",2020,"after",1,0,1,1,237,"117943"
"Fort Wayne, Indiana, USA",2021,"during",1,0,1,1,1500,"117943"
"Fort Wayne, Indiana, USA",2022,"after",5,0,5,5,793,"710073 155091 117892 220115 117943"
"GAM, San José, Costa Rica",2020,"during",9,1,3,6,2131,"117951 117992 464189"
"GAM, San José, Costa Rica",2021,"during",11,2,8,10,2674,"464189 128050 175433 55554 203993 182631 48325 117867 117892 67747"
"GAM, San José, Costa Rica",2022,"during",16,0,13,11,2830,"117867 175971 67747 54294 154250 182613 229702 1035932 69468 176035 464189 175489 117943"
"GAM, San José, Costa Rica",2022,"after",1,0,1,1,168,"117943"
"Garden Route, Western Cape, South Africa",2020,"before",3,1,3,3,627,"175712 117867 229759"
"Garden Route, Western Cape, South Africa",2020,"during",155,62,30,44,17640,"48711 117867 461903 83475 55576 67747 502154 893203 69430 117938 960311 175173 117865 117951 117942 229759 712029 60724 55554 55553 48325 123114 596946 532267 48714 49490 119695 57807 117950 217107 175845 121176 117943 182679 1080564 155495 714333 232361 117887 69468"
"Garden Route, Western Cape, South Africa",2020,"after",2,0,2,1,484,"176035 1080564"
"Garden Route, Western Cape, South Africa",2021,"before",4,2,4,4,484,"67344 182679 203713 712029"
"Garden Route, Western Cape, South Africa",2021,"during",212,62,32,61,20377,"229759 960311 83475 49490 48325 117867 60724 67747 55554 700540 117932 55553 355350 117887 55576 461903 57807 182679 123114 69163 893203 117943 122029 179037 117899 155093 117938 117951 986193 712029 175758 155495 355354 118252 117950 223473 203713 117892 117942 229245 217100 597056 1080564"
"Garden Route, Western Cape, South Africa",2021,"after",8,5,6,5,820,"117899 355354 49490 217100 217093 83475 203713"
"Garden Route, Western Cape, South Africa",2022,"before",12,4,9,8,1235,"461903 60724 960311 229759 117867 49490 83475 55554 67343 117932"
"Garden Route, Western Cape, South Africa",2022,"during",139,44,29,51,16256,"49490 55554 67747 117938 117867 232361 461903 960311 48711 83475 60724 881397 117943 117950 48325 57807 712029 229759 55576 355350 55553 1080564 179037 597056 217100 123114 203713 117892 175758 69436 182679 117942 69430 54735 229245"
"Garden Route, Western Cape, South Africa",2022,"after",3,1,3,3,989,"55554 67747 117950"
"Geelong, Victoria, Australia",2020,"during",22,7,11,14,5954,"355906 55576 67747 117951 69430 355354 117938 49490 48325 55553 117867"
"Geelong, Victoria, Australia",2020,"after",2,2,1,2,248,"355906"
"Geelong, Victoria, Australia",2021,"before",2,0,2,2,330,"117938 49490"
"Geelong, Victoria, Australia",2021,"during",14,3,7,6,3400,"118245 67747 355906 49490 55553 55576 54757 54294"
"Geelong, Victoria, Australia",2021,"after",6,2,2,4,269,"67747 355906"
"Geelong, Victoria, Australia",2022,"before",5,1,3,3,547,"48325 55554 55553 182679 67747"
"Geelong, Victoria, Australia",2022,"during",19,5,11,10,2692,"355354 67747 175954 355906 179037 55576 55553 48325 69207 54757 122029 54734 83475 182679 49490"
"Geelong, Victoria, Australia",2022,"after",8,1,6,4,1046,"49490 355962 118245 217296 117892 182679"
"Glasgow, Scotland",2020,"during",17,6,7,7,2059,"117867 55576 67747 54758 123175 49490 54294"
"Glasgow, Scotland",2020,"after",1,0,1,1,280,"54734"
"Glasgow, Scotland",2021,"before",1,0,1,1,88,"117858"
"Glasgow, Scotland",2021,"during",7,4,5,3,1383,"55576 54758 117867 123175 117980"
"Glasgow, Scotland",2022,"during",5,4,3,3,1892,"123175 54734 55576"
"Graz, Styria, Austria",2020,"before",1,0,1,1,218,"127051"
"Graz, Styria, Austria",2020,"during",35,25,18,10,5113,"50252 69430 48325 318822 60718 54734 117951 319357 55576 127051 117971 117874 54294 632126 532267 54735 175355 117987 154184 182631"
"Graz, Styria, Austria",2021,"before",5,2,4,3,188,"217094 154184 49490 532521 55576"
"Graz, Styria, Austria",2021,"during",253,185,93,46,17203,"124439 55576 182631 69430 69436 194687 49490 117987 210314 50252 54734 117971 632126 117887 54735 355350 123348 155094 175355 1234240 127051 220695 217094 123175 154184 69207 69163 231137 175534 117865 182721 69211 155090 154458 180422 203807 119888 227386 773840 54607 217081 222821 222835 117860 222815 194686 155093 119695 117903 220028 117938 69728 123677 210527 182605 117874 224149 182652 54758 532521 117877 117963 180500 117973 630829 532707 54294 117943 463479 461454 223123 60718 194681 203896 205492 205261 229442 209662 229764 175440 1028392 463481 630835 228062 532267 532146 462293 214304 220077 228059 214241 223257 1080564 214357 180448 463344 117988 233474 182455 117951 117861 463176 175780 463485 462122 67747 319357 318822"
"Graz, Styria, Austria",2021,"after",2,2,2,2,484,"179037 55576"
"Graz, Styria, Austria",2022,"during",191,151,90,25,16881,"117971 54735 54294 55576 124439 154184 212393 49490 209662 462597 182565 320843 117942 632126 175285 54607 60718 54734 117987 123175 50252 194687 203807 1080564 175488 228059 180422 127051 154458 773840 217081 54758 222815 119695 117903 179720 155093 175355 182476 180444 119778 217094 48325 117899 117939 202002 210527 154108 182721 175401 462403 205418 220111 210376 1040929 636253 222967 229078 222936 222826 209791 119888 117945 325885 228869 233241 222049 180430 182455 117422 154564 182652 182605 117963 224149 1019557 220028 117874 117887 463485 462493 960586 223135 117860 222883 182558 232383 224572 120528 217598 182503 233242 220110 175433 182631 118245 180450 175274 174748 117988"
"Graz, Styria, Austria",2022,"after",1,1,1,1,615,"632126"
"Greater Manchester, UK",2019,"during",20,5,11,9,5114,"222838 55576 54734 69730 228059 117874 123175 205492 154184 49490 179037 54758"
"Greater Manchester, UK",2020,"before",8,4,8,1,650,"50252 179366 180500 49490 194686 54734 124439 55576"
"Greater Manchester, UK",2020,"during",8,4,6,7,4768,"124439 48325 55576 49490 117943 117867"
"Greater Manchester, UK",2021,"during",14,3,7,7,1854,"55576 465346 48325 69430 54734 154184 49490 223123"
"Greater Manchester, UK",2022,"before",1,0,1,1,376,"69211"
"Greater Manchester, UK",2022,"during",5,1,3,4,2256,"117867 54734 54294"
"Greater Phoenix Area, Arizona, USA",2021,"during",7,2,5,4,9703,"54735 532267 212280 69430 148365"
"Greater Phoenix Area, Arizona, USA",2021,"after",2,0,1,2,653,"212280"
"Greater Phoenix Area, Arizona, USA",2022,"during",40,2,7,10,17781,"210316 532267 117943 212280 194681 117932 154250 60724"
"Greater Phoenix Area, Arizona, USA",2022,"after",1,0,1,1,1749,"148365"
"Greater Portland-Vancouver Metro Area, Oregon, USA",2021,"before",10,3,9,5,1720,"155093 123176 55243 118245 119695 179856 49578 67747 55576"
"Greater Portland-Vancouver Metro Area, Oregon, USA",2021,"during",47,7,18,29,6582,"49490 54607 123175 67747 117932 179037 123230 125773 55576 69430 122681 54734 48711 352486 118245 117988 54758 117874 117886 119695 182631"
"Greater Portland-Vancouver Metro Area, Oregon, USA",2021,"after",4,1,4,3,1814,"179037 48711 182679 54758"
"Greater Portland-Vancouver Metro Area, Oregon, USA",2022,"before",9,4,6,7,1239,"118245 123175 49490 55576 182631 228059"
"Greater Portland-Vancouver Metro Area, Oregon, USA",2022,"during",30,4,13,20,3746,"50252 179037 54294 123231 117877 123175 54734 117874 175440 182679 123230 182631 54735 54757 49490 67747 123176 124439"
"Greater Portland-Vancouver Metro Area, Oregon, USA",2022,"after",13,2,10,9,1997,"128925 54294 49490 118245 179037 532452 463837 463825 632126 117987 182631"
"Greater Victoria, British Columbia, Canada",2022,"before",55,10,27,23,2157,"117988 118245 59968 463837 119675 49490 462268 54758 228059 117950 118252 125055 463825 179042 123231 463344 464214 146938 48325 217100 54294 463448 48711 117889 182690 123511 117886 128919 54734 532458 630835 123509 119696 67747 182679"
"Greater Victoria, British Columbia, Canada",2022,"during",248,43,71,57,8130,"54294 55576 203077 462268 125055 632126 117962 117861 352486 49490 48714 117988 67747 48325 54734 532308 48711 117886 54735 123175 118245 119696 630829 69468 117899 60724 117943 123176 463984 54607 119675 463825 232383 182679 118252 182682 122660 49578 532310 463837 117971 123230 117950 117963 1040929 117858 123391 194116 228059 117938 121208 119695 122681 123231 54758 340879 69730 462484 194681 220262 182657 179037 54757 117876 117874 463344 630835 532707 117942 117887 154184 531563 155094 182455 175433 155093 233712 117860 403505 194736 226129 124441 124439 69430 117895 175440 182670 49488 182467 117945 230426 117867"
"Greater Victoria, British Columbia, Canada",2022,"after",61,14,37,15,2355,"48711 54757 123349 60724 117988 117858 54294 175426 119666 54734 636286 1019557 229078 117874 119677 117971 117889 117860 194736 154184 194661 69730 122660 526743 121208 180500 224470 462706 117876 54613 119695 123231 117963 630835 49490 123391 123175 48714 48325 118245 67747"
"Greensboro, North Carolina, USA",2021,"before",3,1,1,3,1330,"117943"
"Greensboro, North Carolina, USA",2021,"during",10,1,6,7,2503,"117943 182679 155091 67747 460246 121176 205689"
"Greensboro, North Carolina, USA",2021,"after",7,1,4,4,895,"117943 463070 460246 148365"
"Greensboro, North Carolina, USA",2022,"before",4,0,3,3,974,"227661 67747 117943 182679"
"Greensboro, North Carolina, USA",2022,"during",13,3,6,12,1926,"59954 117951 117943 67747 222950 117892 121176 182713"
"Greensboro, North Carolina, USA",2022,"after",1,0,1,1,866,"117942"
"Guatemala, Guatemala",2022,"during",18,1,10,15,2995,"48325 175276 55554 229759 57807 155093 117943 117951 148365 229702 205079 49490 463096 182613 464189"
"Guatemala, Guatemala",2022,"after",1,0,1,1,212,"117892"
"Halifax Regional Municipality, Nova Scotia, Canada",2019,"before",12,3,6,6,149,"49490 462724 1035932 504634 67747 182670 54735"
"Halifax Regional Municipality, Nova Scotia, Canada",2019,"during",781,301,126,114,7647,"205470 182554 117971 117987 182613 50252 54294 59968 175232 117943 54735 182657 117919 121208 182670 532267 55576 49490 217076 117899 125632 125728 218055 59954 119669 180488 182570 67747 117874 630834 182552 117963 117858 224150 182663 121176 48711 463825 180474 813872 119778 122660 179720 117847 217086 151767 180456 119695 155090 1035932 54734 320843 175350 235279 125773 49488 154184 813868 154099 182732 182542 125754 117951 182631 182682 117938 532146 117926 123176 117853 504634 205484 182439 217153 127092 203800 155093 217123 463879 226890 403505 194723 117924 180494 220261 700478 123677 222052 458886 463071 126625 180467 175969 155094 200925 121212 117950 117422 182467 221322 630835 119675 182705 823668 117925 203835 194700 194163 179037 463553 230314 117886 194681 129667 532533 127123 148365 182679 504611 55247 122681 127051 123894 182675 54607 182503 228059 182656 117860 194686 124439 117876 222847 210522 180500 1347949 117887 123114 117865 55457 180422 117968 123175"
"Halifax Regional Municipality, Nova Scotia, Canada",2019,"after",12,3,6,5,190,"49490 700478 217081 125773 151767 205484 49488"
"Halifax Regional Municipality, Nova Scotia, Canada",2020,"before",12,4,10,7,229,"59968 122660 121208 119669 55576 194687 117887 182679 48711 117988 67747"
"Halifax Regional Municipality, Nova Scotia, Canada",2020,"during",350,82,79,59,4365,"49490 117950 117971 182570 119778 217076 125773 117943 48325 117987 194687 67747 54735 203713 217086 125728 228059 117919 60718 200925 182670 182656 119887 55576 194686 182631 54607 119669 59968 175859 155090 205689 504634 117860 71060 1035932 224150 182613 48711 182657 117422 320843 121208 121176 182467 182534 117865 182439 69728 121212 49488 125754 123230 217123 344442 117963 175440 55457 54758 119695 182705 182679 227386 155093 180456 179037 117887 117874 124439 117867 54734 148365 117926 60724 403505 182675 154184 117895 151767 117951 59954 532146 69468 532117 69430 123176 205567 180480 182605 55247 175401 117968 227551 117877 54294"
"Halifax Regional Municipality, Nova Scotia, Canada",2020,"after",37,20,27,17,395,"48711 49490 119669 463542 59954 55247 223467 352459 175954 217270 194723 221322 182705 121212 403505 117895 823668 217123 117987 118245 1035932 182613 55576 121176 117422 504634 117874 182679"
"Halifax Regional Municipality, Nova Scotia, Canada",2021,"before",2,1,2,2,226,"67747 125632"
"Halifax Regional Municipality, Nova Scotia, Canada",2021,"during",421,143,85,61,5745,"231338 117895 125754 67747 55576 54294 179720 151767 54735 48711 813872 403505 49490 117874 59954 49488 125728 125632 117860 117926 504634 217076 117422 54734 117919 155093 119669 117971 117887 117963 182467 1035932 182657 194687 462705 117943 320843 121208 119778 224150 122660 117988 59968 182613 463837 182675 175232 179037 228666 462724 117899 54607 217123 48325 123230 125773 182631 180444 123677 463879 182501 55457 127092 182656 1347949 182554 182705 217086 182679 126626 83475 121176 203800 222950 228058 117886 118245 125058 117950 194686 54757 182552 117861 465009 123894 205689 119888 155090 200925 117867 180467 630835 217081 217078 119695 117987 203713 117925 217100 123176"
"Halifax Regional Municipality, Nova Scotia, Canada",2021,"after",8,6,8,4,792,"221322 49490 700478 48711 403505 119695 59954 55576"
"Halifax Regional Municipality, Nova Scotia, Canada",2022,"before",69,18,36,14,649,"182670 231338 119669 122681 59968 123230 49490 700478 217100 117963 48711 403505 532267 126625 203713 117943 180456 155093 117422 203807 182554 117887 54735 48325 205470 182631 182657 54294 1035932 119888 229961 117874 463070 125632 67747 117950 125728 320843 217148"
"Halifax Regional Municipality, Nova Scotia, Canada",2022,"during",483,132,81,62,5996,"125728 49490 67747 504611 700478 54735 403505 121176 182657 48711 1035932 54294 117874 117988 182613 125632 55576 117847 463879 119669 117963 54607 179037 155093 224150 823668 320843 117926 49488 217076 203800 232791 117887 182656 124439 54734 182552 463837 182679 464002 59954 117943 174766 54757 117422 117951 200925 55247 118245 117859 1080564 379089 462724 48325 532452 59968 175228 119888 55243 194700 119778 117950 123678 217123 182554 182675 117895 125773 630835 205689 194686 182670 69728 217081 118252 813868 182682 117886 182467 203713 151767 119695 180467 117927 182631 1347949 226890 175557 217270 205567 117938 217148 463489 117971 125754 117899 117987 504634 121212 121208"
"Halifax Regional Municipality, Nova Scotia, Canada",2022,"after",6,1,6,4,510,"123114 154184 48711 69728 463825 119669"
"Hamilton, Ontario, Canada",2021,"before",5,0,4,2,706,"463071 117887 54757 49490"
"Hamilton, Ontario, Canada",2021,"during",11,3,7,3,3328,"55576 54294 117987 182455 344442 117887 155094 463071"
"Hamilton, Ontario, Canada",2021,"after",2,1,2,1,1103,"175433 229246"
"Hamilton, Ontario, Canada",2022,"before",12,5,7,1,435,"182675 117943 60709 182656 69430 54734 54735 124439 200925"
"Hamilton, Ontario, Canada",2022,"during",21,0,15,7,2136,"200925 117887 463344 69436 227661 54734 117877 60718 463071 55576 151767 155092 117943 344442 155090 182455"
"Hampton Roads, Virginia, USA",2021,"before",1,0,1,1,524,"117992"
"Hampton Roads, Virginia, USA",2021,"during",7,0,5,5,1351,"117943 175440 49490 155091 117987"
"Hampton Roads, Virginia, USA",2021,"after",1,0,1,1,382,"117867"
"Hampton Roads, Virginia, USA",2022,"before",5,1,5,5,1256,"155497 532146 117938 117943 320843"
"Hampton Roads, Virginia, USA",2022,"during",20,0,8,19,2649,"117938 117867 175433 117887 117943 155091 229702 233685 200925 710073"
"Hampton Roads, Virginia, USA",2022,"after",1,0,1,1,805,"155091"
"Heart of Texas, Texas, USA",2021,"before",1,1,1,1,787,"55553"
"Heart of Texas, Texas, USA",2021,"during",10,4,7,5,4271,"510865 232361 123511 200925 229245 48325 55553 118252"
"Heart of Texas, Texas, USA",2021,"after",1,1,1,1,1099,"232361"
"Heart of Texas, Texas, USA",2022,"before",1,0,1,1,1011,"233685"
"Heart of Texas, Texas, USA",2022,"during",38,18,14,7,5079,"229760 117938 510865 117887 232361 69211 48325 55553 155090 229759 155091 532146 532349 174748 117867 124439 227252"
"Heart of Texas, Texas, USA",2022,"after",1,0,1,1,775,"55553"
"Hollywood, Florida, USA",2022,"before",1,0,1,1,384,"117867"
"Hollywood, Florida, USA",2022,"during",11,2,7,3,2637,"49490 217157 322661 117867 205079 460246 176035 200925 48325"
"Honduras",2020,"during",4,1,3,4,2219,"464189 117951 117943 182631"
"Honduras",2021,"during",23,1,9,14,3701,"182631 464189 463096 49490 179037 67747 117867 132205 182455 117951 154184"
"Honduras",2021,"after",4,0,2,2,1151,"210314 132205"
"Hong Kong",2018,"during",7,1,6,6,20682,"218577 54735 182467 117951 229703 155090"
"Hong Kong",2019,"during",20,0,10,15,31553,"60724 407050 222950 117943 182631 117865 182713 355322 69468 344442 233083"
"Hong Kong",2019,"after",1,0,1,1,2649,"532267"
"Hong Kong",2020,"during",9,0,7,6,17266,"1076135 182631 117987 233685 117938 69468 229702"
"Hong Kong",2020,"after",2,0,2,1,2090,"230414 462848"
"Hong Kong",2021,"before",1,0,1,1,2130,"176035"
"Hong Kong",2021,"during",14,1,8,10,29859,"117938 182631 182461 229697 175440 69430 175845 532533 117884"
"Hong Kong",2022,"before",1,0,1,1,3111,"182631"
"Hong Kong",2022,"during",21,0,10,10,33292,"222890 117992 345245 632126 59968 463344 630829 117950 175440 182439"
"Houston-Galveston, Texas, USA",2018,"before",2,0,2,2,1380,"182675 227252"
"Houston-Galveston, Texas, USA",2018,"during",23,1,11,13,22384,"54735 54734 123175 69430 200925 117951 121176 117943 227259 117867 123348 117942 117874 48325"
"Houston-Galveston, Texas, USA",2018,"after",1,1,1,1,1345,"532267"
"Houston-Galveston, Texas, USA",2019,"before",3,0,3,1,2429,"117867 48325 200925"
"Houston-Galveston, Texas, USA",2019,"during",37,2,16,20,24605,"54758 117943 182613 69430 55553 117951 222950 532267 182631 67747 117938 117947 117987 229702 182679 48325 55554 49490 155093 125754 69468 123175"
"Houston-Galveston, Texas, USA",2019,"after",5,0,5,2,1744,"960311 123175 117943 67747 182675"
"Houston-Galveston, Texas, USA",2020,"before",4,0,3,4,3636,"117943 48325 117867"
"Houston-Galveston, Texas, USA",2020,"during",54,2,17,36,27668,"123348 182679 117943 54758 67747 151767 55554 117887 48325 182631 155091 67343 200925 117867 182613 117980 344442 54734 117987 123230 55553 117865"
"Houston-Galveston, Texas, USA",2020,"after",6,0,5,4,3695,"69430 229759 117865 117943 54734"
"Houston-Galveston, Texas, USA",2021,"before",4,0,3,4,5126,"117943 155091 117867 117887"
"Houston-Galveston, Texas, USA",2021,"during",162,17,34,60,34317,"117943 117867 121176 49490 194163 182613 127423 54758 232361 182679 67747 117942 55554 69437 48325 227252 155091 182631 117938 175845 174841 229765 117987 117992 55553 175944 132205 175440 205402 69436 182656 203093 123175 200925 532267 229759 464189 229760 710073 117865 176035 69211 69430"
"Houston-Galveston, Texas, USA",2021,"after",3,0,2,2,2786,"54758 155091"
"Houston-Galveston, Texas, USA",2022,"before",9,2,6,3,5319,"222950 121176 227252 50252 182613 154184 117951"
"Houston-Galveston, Texas, USA",2022,"during",70,8,18,34,32117,"232361 117943 200925 117867 48325 121176 227252 182679 182613 345245 205689 229760 155091 54758 55553 710073 222950 464189 176035 117942 174748"
"Houston-Galveston, Texas, USA",2022,"after",6,2,4,4,3456,"48325 54758 117867 155091 345245 227252"
"Hsinchu, Taiwan",2020,"during",6,0,4,5,7991,"117943 117865 175440 182613"
"Hsinchu, Taiwan",2021,"during",2,0,2,2,3580,"200925 175845"
"Hsinchu, Taiwan",2022,"during",2,0,2,1,7822,"49490 218571"
"Indianapolis, Indiana, USA",2018,"during",4,0,4,3,3738,"123230 54735 117951 155090"
"Indianapolis, Indiana, USA",2018,"after",4,0,2,3,467,"200925 182631"
"Indianapolis, Indiana, USA",2019,"during",8,2,4,6,2911,"69437 117951 117943 117887 69430"
"Indianapolis, Indiana, USA",2019,"after",4,1,4,4,548,"182656 151767 220115 117943"
"Indianapolis, Indiana, USA",2020,"before",2,0,2,1,787,"174748 179037"
"Indianapolis, Indiana, USA",2020,"during",10,3,7,8,4574,"151767 69430 174748 155091 200925 117943 155090 117867 69211"
"Indianapolis, Indiana, USA",2021,"before",12,2,6,4,1955,"117943 155091 117867 50252 69430 151767 49490 117951"
"Indianapolis, Indiana, USA",2021,"during",23,0,14,6,4426,"151767 117867 117887 200925 55576 155093 119669 117942 174748 463344 125773 69430 154184 117943 182455 60709 117951"
"Indianapolis, Indiana, USA",2021,"after",5,1,5,2,832,"155090 463344 69430 151767 54294"
"Indianapolis, Indiana, USA",2022,"before",1,0,1,1,643,"119778"
"Indianapolis, Indiana, USA",2022,"during",20,0,11,7,5126,"119669 55576 200925 151767 174748 155091 49490 182713 69211 229445 463344 117951 54294 117943"
"Indianapolis, Indiana, USA",2022,"after",1,0,1,1,1092,"220115"
"Inland Empire, California, USA",2020,"before",4,0,3,2,2206,"49488 123230 69468"
"Inland Empire, California, USA",2020,"during",90,26,33,19,11539,"60725 69436 48325 212280 148365 182455 229246 182542 175944 182461 59968 532755 194681 117899 54608 60724 154107 155094 123230 54613 54294 182613 117887 117932 174748 632126 117971 125055 69468 222877 54734 222900 210316 532348 532267 532265 344442 54623 54322 55576 205400"
"Inland Empire, California, USA",2020,"after",10,2,6,8,3466,"54623 55576 60724 205400 54608 69468 532698"
"Inland Empire, California, USA",2021,"before",14,3,9,9,3405,"123230 54613 532267 228066 148365 125055 212280 210316 123511"
"Inland Empire, California, USA",2021,"during",99,21,26,31,11251,"49490 55576 54623 117942 155090 54608 212280 125055 182542 210316 194681 148365 154252 117932 174748 532267 229999 461455 123230 182455 229245 60724 532755 117887 175433 54613 155094 532707 463837 203800 59968 205454 117951 69430"
"Inland Empire, California, USA",2021,"after",9,3,5,7,3797,"154252 54608 54613 123230 175944"
"Inland Empire, California, USA",2022,"before",23,7,15,12,5145,"54608 154128 182542 182455 212280 54623 175170 344442 125055 532533 117899 60724 123894 69430 182461 123175"
"Inland Empire, California, USA",2022,"during",13,4,7,10,7426,"54608 463984 60724 210316 125055 117932 155094 212280 532349"
"Inland Empire, California, USA",2022,"after",10,7,9,5,3866,"125055 222944 182461 532267 212280 463825 224081 182455 117951"
"Ithaca, New York, USA",2021,"before",29,5,14,16,969,"55576 117943 182670 117951 54735 155093 49490 175859 182631 54294 69430 155094 117987 182613 117992 125773 54734 344442"
"Ithaca, New York, USA",2021,"during",84,18,29,31,3282,"117943 175944 69430 148365 55576 117951 344442 155090 54735 69468 155093 69211 182631 151767 49490 223257 54734 532755 174748 117887 69437 182613 175848 182455 119778 117422 463071 154184 463344 182467 710073 54294 60724 117987 54607 182670 123230 119669"
"Ithaca, New York, USA",2021,"after",159,6,33,52,1465,"220115 154184 125754 55457 203800 148365 117925 155090 182631 117887 54734 49490 69468 55576 154107 117943 463344 344442 54757 117951 69430 151767 200925 69211 182656 182713 182613 117938 60724 122029 155093 123230 117929 532698 175440 194686 182455 465009 48325 54735 125773 175433 179366 123511 117942 532533"
"Ithaca, New York, USA",2022,"before",5,0,5,4,627,"125754 69468 155094 54607 54294"
"Ithaca, New York, USA",2022,"during",19,2,13,15,1903,"182542 155092 49490 117942 210314 344442 154184 60709 60718 155090 148365 125754 125773 174748 54735 532533"
"Ithaca, New York, USA",2022,"after",2,0,2,1,1484,"54735 117943"
"Kansas City, Missouri, USA",2020,"during",2,0,2,1,706,"155090 182455"
"Kansas City, Missouri, USA",2020,"after",5,2,4,5,545,"182631 155090 117887 182455 117943"
"Kansas City, Missouri, USA",2021,"during",1,0,1,1,1173,"154184"
"Kiel, Schleswig-Holstein, Germany",2021,"during",32,23,9,18,5367,"223123 54734 55576 117887 69211 182631 50252 228059 175440 194681 54735 179037"
"Kiel, Schleswig-Holstein, Germany",2022,"before",1,0,1,1,113,"182631"
"Kiel, Schleswig-Holstein, Germany",2022,"during",20,15,9,9,4293,"180448 55576 182631 54734 228059 223123 194681 117887 124439 632126"
"Klang Valley (Kuala Lumpur), Malaysia",2018,"during",6,0,6,4,22031,"117943 200925 630835 463096 132205 117899"
"Klang Valley (Kuala Lumpur), Malaysia",2019,"during",52,1,14,40,37900,"182631 463344 182613 117943 220115 155092 182656 222950 69430 48711 117987 119695 200925 194686"
"Klang Valley (Kuala Lumpur), Malaysia",2021,"during",6,0,4,4,9418,"117942 117867 222950 118245"
"Klang Valley (Kuala Lumpur), Malaysia",2022,"during",1,0,1,1,2134,"182631"
"Knox Area (Knoxville), Tennessee, USA",2021,"before",3,1,3,2,1233,"180500 59954 182631"
"Knox Area (Knoxville), Tennessee, USA",2021,"during",6,0,3,5,2346,"54294 67747 119778 121176"
"Knox Area (Knoxville), Tennessee, USA",2021,"after",5,0,3,3,1581,"121176 67747 117951 54294"
"Knox Area (Knoxville), Tennessee, USA",2022,"before",10,1,8,8,1416,"117867 67747 182675 460246 49490 182682 148365 59954 119669 119778"
"Knox Area (Knoxville), Tennessee, USA",2022,"during",31,10,16,10,3476,"125773 48711 49490 122660 59954 54294 117422 175813 481588 175350 155093 48714 121176 117896 460246 67747 504612 227252 180500 117992"
"Knox Area (Knoxville), Tennessee, USA",2022,"after",2,1,2,2,918,"461903 320843"
"La Paz, Bolivia",2019,"before",2,0,2,2,703,"1040929 55554"
"La Paz, Bolivia",2019,"during",166,18,39,85,47637,"67747 887326 69430 117943 154184 887317 55554 117886 122660 233285 55553 60724 117887 532267 49490 117988 128050 117425 123114 463139 232361 117899 318589 117980 117892 148365 117951 182455 151767 126625 203800 205418 117971 223432 69436 117889 117867 123230 124439 175232 200925 182679 463825 54735 182717 117932 344442 194681 121176 117877"
"La Paz, Bolivia",2019,"after",2,0,2,1,261,"67747 49490"
"La Paz, Bolivia",2020,"during",5,0,5,5,3372,"117942 55553 155497 117943 532707"
"La Paz, Bolivia",2021,"during",5,0,5,3,492,"54735 220111 182679 54294 117943"
"La Paz, Bolivia",2022,"before",1,0,1,1,805,"175489"
"La Paz, Bolivia",2022,"during",767,51,97,252,138218,"121176 491234 151767 60724 550161 203800 59968 55553 182679 67747 175237 154129 49490 122660 175949 117951 55538 119695 117899 174824 532267 224578 125728 463825 154252 48714 463449 54294 117943 119888 182455 226890 175426 69430 175489 117879 54735 153175 123511 180444 119778 117988 179042 1040929 60718 194736 318589 55554 55576 228059 117425 194686 117932 117958 119677 117887 887326 54757 319389 463096 175383 117867 182682 355962 127092 117900 118252 123230 117422 117926 155090 212280 463837 210316 174766 179366 155092 182503 154250 48325 69436 117980 182670 125632 222051 1029593 83475 123894 205689 464241 532755 464002 180448 69728 175954 174748 180500 182439 117877 119666 69211 117976 155495 117963 175055 232361 117892 220115 182542 174925 175232 463984 222950 887317 128050 155094 117938 69437 222936 1097665 176035 125850 155497 155095 69468"
"La Paz, Bolivia",2022,"after",1,0,1,1,415,"49490"
"Lancashire, UK",2020,"before",8,5,6,3,953,"50252 69211 55576 632126 124439 182631"
"Lancashire, UK",2020,"during",10,2,8,5,5322,"154184 55576 117867 119696 155093 117943 54294 54758"
"Lancashire, UK",2020,"after",1,1,1,1,860,"55576"
"Lancashire, UK",2021,"before",4,2,3,4,286,"121208 229764 118245 48325"
