"id","taxonID","identifier","parentNameUsageID","kingdom","phylum","class","order","family","genus","specificEpithet","infraspecificEpithet","modified","scientificName","taxonRank","references"
1166513,"https://www.inaturalist.org/taxa/1166513","https://www.inaturalist.org/taxa/1166513","https://www.inaturalist.org/taxa/352552","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Schizoxylon","compositum","","2020-12-29T20:53:08Z","Schizoxylon compositum","species","https://eol.org/pages/6544141"
1167536,"https://www.inaturalist.org/taxa/1167536","https://www.inaturalist.org/taxa/1167536","https://www.inaturalist.org/taxa/117925","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","Buellia","melanostola","","2020-12-31T02:24:27Z","Buellia melanostola","species","https://eol.org/pages/53817737"
1167597,"https://www.inaturalist.org/taxa/1167597","https://www.inaturalist.org/taxa/1167597","https://www.inaturalist.org/taxa/175677","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Megalariaceae","Megalaria","orokonuiana","","2020-12-31T03:19:21Z","Megalaria orokonuiana","species","https://nzflora.landcareresearch.co.nz/default.aspx?selected=NameDetails&TabNum=0&NameId=BB8C4D03-68D8-4001-94BC-0F783BA131B3"
1168594,"https://www.inaturalist.org/taxa/1168594","https://www.inaturalist.org/taxa/1168594","https://www.inaturalist.org/taxa/117865","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Pertusariaceae","Pertusaria","georgeana","","2021-01-02T00:25:37Z","Pertusaria georgeana","species","https://eol.org/pages/199182"
1169188,"https://www.inaturalist.org/taxa/1169188","https://www.inaturalist.org/taxa/1169188","https://www.inaturalist.org/taxa/117884","Fungi","Ascomycota","Eurotiomycetes","Pyrenulales","Pyrenulaceae","Pyrenula","clavatispora","","2021-01-02T16:23:57Z","Pyrenula clavatispora","species",""
1172673,"https://www.inaturalist.org/taxa/1172673","https://www.inaturalist.org/taxa/1172673","https://www.inaturalist.org/taxa/1172659","Animalia","Mollusca","Bivalvia","Actinodontida","Redoniidae","Redonia","","","2021-01-07T23:35:21Z","Redonia","genus","https://www.biodiversitylibrary.org/page/49715075#page/115/mode/1up"
1172674,"https://www.inaturalist.org/taxa/1172674","https://www.inaturalist.org/taxa/1172674","https://www.inaturalist.org/taxa/1172673","Animalia","Mollusca","Bivalvia","Actinodontida","Redoniidae","Redonia","deshayesi","","2021-01-03T21:41:10Z","Redonia deshayesi","species","https://www.biodiversitylibrary.org/page/49715075#page/115/mode/1up"
1173042,"https://www.inaturalist.org/taxa/1173042","https://www.inaturalist.org/taxa/1173042","https://www.inaturalist.org/taxa/117992","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Graphidaceae","Graphis","pseudoserpens","","2021-01-04T02:28:53Z","Graphis pseudoserpens","species","http://www.seaveyfieldguides.com/Lichens/photo_pgs_g/graphis_pseudoserpens.html"
1173089,"https://www.inaturalist.org/taxa/1173089","https://www.inaturalist.org/taxa/1173089","https://www.inaturalist.org/taxa/863809","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Graphidaceae","Aderkomyces","thailandicus","","2021-01-04T03:35:45Z","Aderkomyces thailandicus","species",""
1173090,"https://www.inaturalist.org/taxa/1173090","https://www.inaturalist.org/taxa/1173090","https://www.inaturalist.org/taxa/155084","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","Amandinea","maritima","","2021-01-04T03:36:18Z","Amandinea maritima","species",""
1173093,"https://www.inaturalist.org/taxa/1173093","https://www.inaturalist.org/taxa/1173093","https://www.inaturalist.org/taxa/462297","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Graphidaceae","Anomomorpha","lecanorina","","2021-01-04T03:36:55Z","Anomomorpha lecanorina","species",""
1173094,"https://www.inaturalist.org/taxa/1173094","https://www.inaturalist.org/taxa/1173094","https://www.inaturalist.org/taxa/462297","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Graphidaceae","Anomomorpha","tuberculata","","2021-01-04T03:37:35Z","Anomomorpha tuberculata","species",""
1173095,"https://www.inaturalist.org/taxa/1173095","https://www.inaturalist.org/taxa/1173095","https://www.inaturalist.org/taxa/575147","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae","Badimia","multiseptata","","2021-01-04T03:38:23Z","Badimia multiseptata","species",""
1173096,"https://www.inaturalist.org/taxa/1173096","https://www.inaturalist.org/taxa/1173096","https://www.inaturalist.org/taxa/575147","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae","Badimia","vezdana","","2021-01-04T03:38:43Z","Badimia vezdana","species",""
1173097,"https://www.inaturalist.org/taxa/1173097","https://www.inaturalist.org/taxa/1173097","https://www.inaturalist.org/taxa/175943","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae","Biatora","epirotica","","2021-01-04T03:39:20Z","Biatora epirotica","species",""
1173098,"https://www.inaturalist.org/taxa/1173098","https://www.inaturalist.org/taxa/1173098","https://www.inaturalist.org/taxa/175972","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Sphaerophoraceae","Bunodophoron","pinnatum","","2021-01-04T03:41:47Z","Bunodophoron pinnatum","species",""
