"Family","Genus","Authority","id","taxonID","identifier","parentNameUsageID","kingdom","phylum","class","order","family","specificEpithet","infraspecificEpithet","modified","scientificName","taxonRank","references"
"Arthoniaceae","Arthonia","Ach.",117929,"https://www.inaturalist.org/taxa/117929","https://www.inaturalist.org/taxa/117929","https://www.inaturalist.org/taxa/117928","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","","","2019-11-23T03:01:36Z","Arthonia","genus","http://www.catalogueoflife.org/annual-checklist/2010/browse/tree/id/2263594"
"Arthoniaceae","Arthothelium","A. Massal.",175875,"https://www.inaturalist.org/taxa/175875","https://www.inaturalist.org/taxa/175875","https://www.inaturalist.org/taxa/117928","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","","","2019-11-23T03:43:13Z","Arthothelium","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2377626"
"Arthoniaceae","Coniarthonia","Grube",464930,"https://www.inaturalist.org/taxa/464930","https://www.inaturalist.org/taxa/464930","https://www.inaturalist.org/taxa/117928","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","","","2015-05-26T21:04:03Z","Coniarthonia","genus","http://www.ubio.org/browser/details.php?namebankID=9712570"
"Arthoniaceae","Coniocarpon","DC.",1026551,"https://www.inaturalist.org/taxa/1026551","https://www.inaturalist.org/taxa/1026551","https://www.inaturalist.org/taxa/117928","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","","","2020-02-03T04:31:33Z","Coniocarpon","genus","http://www.indexfungorum.org"
"Arthoniaceae","Crypthonia","Frisch & G. Thor",1013434,"https://www.inaturalist.org/taxa/1013434","https://www.inaturalist.org/taxa/1013434","https://www.inaturalist.org/taxa/117928","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","","","2020-01-20T15:58:44Z","Crypthonia","genus","https://eol.org/pages/42853215"
"Arthoniaceae","Cryptothecia","Stirt.",176035,"https://www.inaturalist.org/taxa/176035","https://www.inaturalist.org/taxa/176035","https://www.inaturalist.org/taxa/117928","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","","","2012-10-23T23:23:57Z","Cryptothecia","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2456458"
"Arthoniaceae","Herpothallon","Tobler",463096,"https://www.inaturalist.org/taxa/463096","https://www.inaturalist.org/taxa/463096","https://www.inaturalist.org/taxa/117928","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","","","2015-05-11T10:05:32Z","Herpothallon","genus","http://www.catalogueoflife.org/annual-checklist/2012/browse/tree/id/2456377"
"Arthoniaceae","Inoderma","(Ach.) Gray",532104,"https://www.inaturalist.org/taxa/532104","https://www.inaturalist.org/taxa/532104","https://www.inaturalist.org/taxa/117928","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","","","2020-03-01T02:50:14Z","Inoderma","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2458764"
"Arthoniaceae","Myriostigma","Kremp.",923441,"https://www.inaturalist.org/taxa/923441","https://www.inaturalist.org/taxa/923441","https://www.inaturalist.org/taxa/117928","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","","","2019-08-17T11:08:02Z","Myriostigma","genus","https://eol.org/pages/6413767"
"Arthoniaceae","Pachnolepia","A.Massal.",1026491,"https://www.inaturalist.org/taxa/1026491","https://www.inaturalist.org/taxa/1026491","https://www.inaturalist.org/taxa/117928","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","","","2020-02-17T17:08:47Z","Pachnolepia","genus","https://eol.org/pages/13198286"
